date,shop_id,product_id,product_name,category,weather_dependency,temperature,humidity,rainfall,demand,day_of_week,month,day,previous_day_sales,rolling_7day_sales
2025-01-08,S001,P001,Coca Cola,Beverages,High,27.5,75,0.1,19,2,1,8,28.0,23.0
2025-01-09,S001,P001,Coca Cola,Beverages,High,27.5,73,0.0,12,3,1,9,19.0,23.714285714285715
2025-01-10,S001,P001,Coca Cola,Beverages,High,28.1,74,0.0,26,4,1,10,12.0,21.285714285714285
2025-01-11,S001,P001,Coca Cola,Beverages,High,27.9,79,4.1,21,5,1,11,26.0,22.714285714285715
2025-01-12,S001,P001,Coca Cola,Beverages,High,27.1,84,1.4,10,6,1,12,21.0,22.857142857142858
2025-01-13,S001,P001,Coca Cola,Beverages,High,27.9,80,4.9,14,0,1,13,10.0,20.142857142857142
2025-01-14,S001,P001,Coca Cola,Beverages,High,27.5,79,6.8,24,1,1,14,14.0,18.571428571428573
2025-01-15,S001,P001,Coca Cola,Beverages,High,28.2,71,2.4,31,2,1,15,24.0,18.0
2025-01-16,S001,P001,Coca Cola,Beverages,High,28.8,68,0.0,16,3,1,16,31.0,19.714285714285715
2025-01-17,S001,P001,Coca Cola,Beverages,High,28.6,64,0.0,22,4,1,17,16.0,20.285714285714285
2025-01-18,S001,P001,Coca Cola,Beverages,High,27.4,68,2.1,32,5,1,18,22.0,19.714285714285715
2025-01-19,S001,P001,Coca Cola,Beverages,High,26.7,80,19.1,16,6,1,19,32.0,21.285714285714285
2025-01-20,S001,P001,Coca Cola,Beverages,High,27.8,78,0.0,29,0,1,20,16.0,22.142857142857142
2025-01-21,S001,P001,Coca Cola,Beverages,High,28.3,73,0.0,33,1,1,21,29.0,24.285714285714285
2025-01-22,S001,P001,Coca Cola,Beverages,High,27.9,76,0.3,12,2,1,22,33.0,25.571428571428573
2025-01-23,S001,P001,Coca Cola,Beverages,High,28.1,79,1.2,16,3,1,23,12.0,22.857142857142858
2025-01-24,S001,P001,Coca Cola,Beverages,High,28.3,75,0.0,19,4,1,24,16.0,22.857142857142858
2025-01-25,S001,P001,Coca Cola,Beverages,High,28.1,72,0.1,22,5,1,25,19.0,22.428571428571427
2025-01-26,S001,P001,Coca Cola,Beverages,High,28.3,71,0.0,26,6,1,26,22.0,21.0
2025-01-27,S001,P001,Coca Cola,Beverages,High,27.5,65,0.0,30,0,1,27,26.0,22.428571428571427
2025-01-28,S001,P001,Coca Cola,Beverages,High,27.0,74,0.0,23,1,1,28,30.0,22.571428571428573
2025-01-29,S001,P001,Coca Cola,Beverages,High,27.3,79,0.0,21,2,1,29,23.0,21.142857142857142
2025-01-30,S001,P001,Coca Cola,Beverages,High,28.2,75,0.0,18,3,1,30,21.0,22.428571428571427
2025-01-31,S001,P001,Coca Cola,Beverages,High,28.4,82,0.0,9,4,1,31,18.0,22.714285714285715
2025-02-01,S001,P001,Coca Cola,Beverages,High,28.3,83,1.0,15,5,2,1,9.0,21.285714285714285
2025-02-02,S001,P001,Coca Cola,Beverages,High,28.4,80,0.0,11,6,2,2,15.0,20.285714285714285
2025-02-03,S001,P001,Coca Cola,Beverages,High,28.1,80,0.9,17,0,2,3,11.0,18.142857142857142
2025-02-04,S001,P001,Coca Cola,Beverages,High,27.8,78,0.0,31,1,2,4,17.0,16.285714285714285
2025-02-05,S001,P001,Coca Cola,Beverages,High,27.5,75,0.0,17,2,2,5,31.0,17.428571428571427
2025-02-06,S001,P001,Coca Cola,Beverages,High,27.7,75,0.0,17,3,2,6,17.0,16.857142857142858
2025-02-07,S001,P001,Coca Cola,Beverages,High,28.0,71,0.0,25,4,2,7,17.0,16.714285714285715
2025-02-08,S001,P001,Coca Cola,Beverages,High,27.6,66,0.0,24,5,2,8,25.0,19.0
2025-02-09,S001,P001,Coca Cola,Beverages,High,27.5,66,0.0,16,6,2,9,24.0,20.285714285714285
2025-02-10,S001,P001,Coca Cola,Beverages,High,27.6,69,0.0,21,0,2,10,16.0,21.0
2025-02-11,S001,P001,Coca Cola,Beverages,High,28.3,76,0.0,23,1,2,11,21.0,21.571428571428573
2025-02-12,S001,P001,Coca Cola,Beverages,High,28.1,72,0.0,25,2,2,12,23.0,20.428571428571427
2025-02-13,S001,P001,Coca Cola,Beverages,High,28.0,74,0.0,19,3,2,13,25.0,21.571428571428573
2025-02-14,S001,P001,Coca Cola,Beverages,High,27.5,74,0.0,19,4,2,14,19.0,21.857142857142858
2025-02-15,S001,P001,Coca Cola,Beverages,High,27.6,74,0.0,12,5,2,15,19.0,21.0
2025-02-16,S001,P001,Coca Cola,Beverages,High,27.6,72,0.0,17,6,2,16,12.0,19.285714285714285
2025-02-17,S001,P001,Coca Cola,Beverages,High,27.7,74,0.0,28,0,2,17,17.0,19.428571428571427
2025-02-18,S001,P001,Coca Cola,Beverages,High,27.8,73,0.0,9,1,2,18,28.0,20.428571428571427
2025-02-19,S001,P001,Coca Cola,Beverages,High,27.8,74,0.0,15,2,2,19,9.0,18.428571428571427
2025-02-20,S001,P001,Coca Cola,Beverages,High,28.0,73,0.0,18,3,2,20,15.0,17.0
2025-02-21,S001,P001,Coca Cola,Beverages,High,28.1,74,0.0,20,4,2,21,18.0,16.857142857142858
2025-02-22,S001,P001,Coca Cola,Beverages,High,28.0,74,0.0,19,5,2,22,20.0,17.0
2025-02-23,S001,P001,Coca Cola,Beverages,High,28.3,74,0.0,20,6,2,23,19.0,18.0
2025-02-24,S001,P001,Coca Cola,Beverages,High,28.5,73,0.0,17,0,2,24,20.0,18.428571428571427
2025-02-25,S001,P001,Coca Cola,Beverages,High,28.8,67,0.0,11,1,2,25,17.0,16.857142857142858
2025-02-26,S001,P001,Coca Cola,Beverages,High,29.2,70,3.2,11,2,2,26,11.0,17.142857142857142
2025-02-27,S001,P001,Coca Cola,Beverages,High,29.5,70,0.0,23,3,2,27,11.0,16.571428571428573
2025-02-28,S001,P001,Coca Cola,Beverages,High,28.8,74,1.1,7,4,2,28,23.0,17.285714285714285
2025-03-01,S001,P001,Coca Cola,Beverages,High,28.3,81,5.1,11,5,3,1,7.0,15.428571428571429
2025-03-02,S001,P001,Coca Cola,Beverages,High,25.7,87,2.0,21,6,3,2,11.0,14.285714285714286
2025-03-03,S001,P001,Coca Cola,Beverages,High,28.1,84,72.9,14,0,3,3,21.0,14.428571428571429
2025-03-04,S001,P001,Coca Cola,Beverages,High,28.5,79,0.0,24,1,3,4,14.0,14.0
2025-03-05,S001,P001,Coca Cola,Beverages,High,28.8,78,0.0,22,2,3,5,24.0,15.857142857142858
2025-03-06,S001,P001,Coca Cola,Beverages,High,29.0,81,2.3,16,3,3,6,22.0,17.428571428571427
2025-03-07,S001,P001,Coca Cola,Beverages,High,28.6,80,2.6,11,4,3,7,16.0,16.428571428571427
2025-03-08,S001,P001,Coca Cola,Beverages,High,28.7,81,1.6,27,5,3,8,11.0,17.0
2025-03-09,S001,P001,Coca Cola,Beverages,High,28.9,79,0.5,15,6,3,9,27.0,19.285714285714285
2025-03-10,S001,P001,Coca Cola,Beverages,High,28.8,66,0.0,21,0,3,10,15.0,18.428571428571427
2025-03-11,S001,P001,Coca Cola,Beverages,High,28.3,77,0.0,14,1,3,11,21.0,19.428571428571427
2025-03-12,S001,P001,Coca Cola,Beverages,High,27.3,81,0.0,28,2,3,12,14.0,18.0
2025-03-13,S001,P001,Coca Cola,Beverages,High,28.8,80,0.0,15,3,3,13,28.0,18.857142857142858
2025-03-14,S001,P001,Coca Cola,Beverages,High,29.0,80,0.0,25,4,3,14,15.0,18.714285714285715
2025-03-15,S001,P001,Coca Cola,Beverages,High,28.9,78,0.0,30,5,3,15,25.0,20.714285714285715
2025-03-16,S001,P001,Coca Cola,Beverages,High,28.2,80,0.0,19,6,3,16,30.0,21.142857142857142
2025-03-17,S001,P001,Coca Cola,Beverages,High,27.6,80,3.0,24,0,3,17,19.0,21.714285714285715
2025-03-18,S001,P001,Coca Cola,Beverages,High,27.5,82,7.9,11,1,3,18,24.0,22.142857142857142
2025-03-19,S001,P001,Coca Cola,Beverages,High,28.1,80,0.0,13,2,3,19,11.0,21.714285714285715
2025-03-20,S001,P001,Coca Cola,Beverages,High,28.8,79,0.0,32,3,3,20,13.0,19.571428571428573
2025-03-21,S001,P001,Coca Cola,Beverages,High,29.1,76,0.0,13,4,3,21,32.0,22.0
2025-03-22,S001,P001,Coca Cola,Beverages,High,28.0,83,4.5,17,5,3,22,13.0,20.285714285714285
2025-03-23,S001,P001,Coca Cola,Beverages,High,28.4,80,2.7,17,6,3,23,17.0,18.428571428571427
2025-03-24,S001,P001,Coca Cola,Beverages,High,29.2,78,3.1,7,0,3,24,17.0,18.142857142857142
2025-03-25,S001,P001,Coca Cola,Beverages,High,29.3,77,1.9,21,1,3,25,7.0,15.714285714285714
2025-03-26,S001,P001,Coca Cola,Beverages,High,29.2,77,7.2,29,2,3,26,21.0,17.142857142857142
2025-03-27,S001,P001,Coca Cola,Beverages,High,29.3,76,2.0,16,3,3,27,29.0,19.428571428571427
2025-03-28,S001,P001,Coca Cola,Beverages,High,29.3,77,3.1,21,4,3,28,16.0,17.142857142857142
2025-03-29,S001,P001,Coca Cola,Beverages,High,29.6,80,4.1,30,5,3,29,21.0,18.285714285714285
2025-03-30,S001,P001,Coca Cola,Beverages,High,29.6,77,0.0,8,6,3,30,30.0,20.142857142857142
2025-03-31,S001,P001,Coca Cola,Beverages,High,29.6,75,2.3,25,0,3,31,8.0,18.857142857142858
2025-04-01,S001,P001,Coca Cola,Beverages,High,28.6,80,2.2,28,1,4,1,25.0,21.428571428571427
2025-04-02,S001,P001,Coca Cola,Beverages,High,28.2,80,1.5,31,2,4,2,28.0,22.428571428571427
2025-04-03,S001,P001,Coca Cola,Beverages,High,27.9,81,3.1,22,3,4,3,31.0,22.714285714285715
2025-04-04,S001,P001,Coca Cola,Beverages,High,26.6,85,0.0,11,4,4,4,22.0,23.571428571428573
2025-04-05,S001,P001,Coca Cola,Beverages,High,27.3,85,50.0,14,5,4,5,11.0,22.142857142857142
2025-04-06,S001,P001,Coca Cola,Beverages,High,27.4,84,0.0,7,6,4,6,14.0,19.857142857142858
2025-04-07,S001,P001,Coca Cola,Beverages,High,29.5,81,7.1,10,0,4,7,7.0,19.714285714285715
2025-04-08,S001,P001,Coca Cola,Beverages,High,29.2,81,0.0,25,1,4,8,10.0,17.571428571428573
2025-04-09,S001,P001,Coca Cola,Beverages,High,28.8,80,0.8,16,2,4,9,25.0,17.142857142857142
2025-04-10,S001,P001,Coca Cola,Beverages,High,28.2,82,0.0,14,3,4,10,16.0,15.0
2025-04-11,S001,P001,Coca Cola,Beverages,High,29.2,82,0.5,22,4,4,11,14.0,13.857142857142858
2025-04-12,S001,P001,Coca Cola,Beverages,High,26.1,85,18.0,31,5,4,12,22.0,15.428571428571429
2025-04-13,S001,P001,Coca Cola,Beverages,High,29.2,83,1.0,12,6,4,13,31.0,17.857142857142858
2025-04-14,S001,P001,Coca Cola,Beverages,High,29.1,80,0.0,11,0,4,14,12.0,18.571428571428573
2025-04-15,S001,P001,Coca Cola,Beverages,High,29.4,77,0.0,15,1,4,15,11.0,18.714285714285715
2025-04-16,S001,P001,Coca Cola,Beverages,High,29.9,78,0.0,23,2,4,16,15.0,17.285714285714285
2025-04-17,S001,P001,Coca Cola,Beverages,High,29.6,79,0.0,12,3,4,17,23.0,18.285714285714285
2025-04-18,S001,P001,Coca Cola,Beverages,High,29.5,80,0.0,34,4,4,18,12.0,18.0
2025-04-19,S001,P001,Coca Cola,Beverages,High,29.7,79,0.0,10,5,4,19,34.0,19.714285714285715
2025-04-20,S001,P001,Coca Cola,Beverages,High,29.5,79,0.0,9,6,4,20,10.0,16.714285714285715
2025-04-21,S001,P001,Coca Cola,Beverages,High,29.4,79,0.0,30,0,4,21,9.0,16.285714285714285
2025-04-22,S001,P001,Coca Cola,Beverages,High,28.9,80,0.0,32,1,4,22,30.0,19.0
2025-04-23,S001,P001,Coca Cola,Beverages,High,28.6,84,18.0,17,2,4,23,32.0,21.428571428571427
2025-04-24,S001,P001,Coca Cola,Beverages,High,29.6,82,0.0,12,3,4,24,17.0,20.571428571428573
2025-04-25,S001,P001,Coca Cola,Beverages,High,28.8,84,6.8,12,4,4,25,12.0,20.571428571428573
2025-04-26,S001,P001,Coca Cola,Beverages,High,28.5,86,0.6,23,5,4,26,12.0,17.428571428571427
2025-04-27,S001,P001,Coca Cola,Beverages,High,28.1,86,3.5,28,6,4,27,23.0,19.285714285714285
2025-04-28,S001,P001,Coca Cola,Beverages,High,28.1,87,10.2,21,0,4,28,28.0,22.0
2025-04-29,S001,P001,Coca Cola,Beverages,High,28.5,86,5.1,20,1,4,29,21.0,20.714285714285715
2025-04-30,S001,P001,Coca Cola,Beverages,High,28.7,85,0.8,28,2,4,30,20.0,19.0
2025-05-01,S001,P001,Coca Cola,Beverages,High,29.6,83,0.0,24,3,5,1,28.0,20.571428571428573
2025-05-02,S001,P001,Coca Cola,Beverages,High,28.3,87,5.1,6,4,5,2,24.0,22.285714285714285
2025-05-03,S001,P001,Coca Cola,Beverages,High,28.3,85,62.0,29,5,5,3,6.0,21.428571428571427
2025-05-04,S001,P001,Coca Cola,Beverages,High,29.9,79,0.0,19,6,5,4,29.0,22.285714285714285
2025-05-05,S001,P001,Coca Cola,Beverages,High,29.6,79,3.9,21,0,5,5,19.0,21.0
2025-05-06,S001,P001,Coca Cola,Beverages,High,29.5,78,4.3,9,1,5,6,21.0,21.0
2025-05-07,S001,P001,Coca Cola,Beverages,High,28.9,80,3.1,22,2,5,7,9.0,19.428571428571427
2025-05-08,S001,P001,Coca Cola,Beverages,High,28.7,80,0.3,31,3,5,8,22.0,18.571428571428573
2025-05-09,S001,P001,Coca Cola,Beverages,High,29.7,77,0.0,12,4,5,9,31.0,19.571428571428573
2025-05-10,S001,P001,Coca Cola,Beverages,High,29.7,75,0.0,34,5,5,10,12.0,20.428571428571427
2025-05-11,S001,P001,Coca Cola,Beverages,High,29.3,76,0.1,28,6,5,11,34.0,21.142857142857142
2025-05-12,S001,P001,Coca Cola,Beverages,High,28.8,82,5.1,13,0,5,12,28.0,22.428571428571427
2025-05-13,S001,P001,Coca Cola,Beverages,High,28.6,85,14.0,20,1,5,13,13.0,21.285714285714285
2025-05-14,S001,P001,Coca Cola,Beverages,High,29.5,80,0.0,15,2,5,14,20.0,22.857142857142858
2025-05-15,S001,P001,Coca Cola,Beverages,High,29.3,82,1.3,15,3,5,15,15.0,21.857142857142858
2025-05-16,S001,P001,Coca Cola,Beverages,High,28.8,84,0.8,23,4,5,16,15.0,19.571428571428573
2025-05-17,S001,P001,Coca Cola,Beverages,High,27.2,89,17.0,16,5,5,17,23.0,21.142857142857142
2025-05-18,S001,P001,Coca Cola,Beverages,High,27.3,89,2.0,15,6,5,18,16.0,18.571428571428573
2025-05-19,S001,P001,Coca Cola,Beverages,High,27.5,90,7.9,8,0,5,19,15.0,16.714285714285715
2025-05-20,S001,P001,Coca Cola,Beverages,High,27.6,86,19.1,13,1,5,20,8.0,16.0
2025-05-21,S001,P001,Coca Cola,Beverages,High,27.8,87,0.0,22,2,5,21,13.0,15.0
2025-05-22,S001,P001,Coca Cola,Beverages,High,28.3,87,16.0,28,3,5,22,22.0,16.0
2025-05-23,S001,P001,Coca Cola,Beverages,High,26.9,92,7.9,18,4,5,23,28.0,17.857142857142858
2025-05-24,S001,P001,Coca Cola,Beverages,High,25.2,96,87.1,12,5,5,24,18.0,17.142857142857142
2025-05-25,S001,P001,Coca Cola,Beverages,High,26.2,95,26.9,20,6,5,25,12.0,16.571428571428573
2025-05-26,S001,P001,Coca Cola,Beverages,High,25.7,97,31.0,33,0,5,26,20.0,17.285714285714285
2025-05-27,S001,P001,Coca Cola,Beverages,High,26.6,96,42.9,28,1,5,27,33.0,20.857142857142858
2025-05-28,S001,P001,Coca Cola,Beverages,High,29.3,88,6.1,12,2,5,28,28.0,23.0
2025-05-29,S001,P001,Coca Cola,Beverages,High,26.8,90,3.0,22,3,5,29,12.0,21.571428571428573
2025-05-30,S001,P001,Coca Cola,Beverages,High,24.3,96,39.9,15,4,5,30,22.0,20.714285714285715
2025-05-31,S001,P001,Coca Cola,Beverages,High,25.4,93,52.1,10,5,5,31,15.0,20.285714285714285
2025-06-01,S001,P001,Coca Cola,Beverages,High,28.3,87,7.9,11,6,6,1,10.0,20.0
2025-06-02,S001,P001,Coca Cola,Beverages,High,28.3,85,0.5,10,0,6,2,11.0,18.714285714285715
2025-06-03,S001,P001,Coca Cola,Beverages,High,28.2,85,5.1,21,1,6,3,10.0,15.428571428571429
2025-06-04,S001,P001,Coca Cola,Beverages,High,27.2,87,7.1,20,2,6,4,21.0,14.428571428571429
2025-06-05,S001,P001,Coca Cola,Beverages,High,28.8,82,2.0,12,3,6,5,20.0,15.571428571428571
2025-06-06,S001,P001,Coca Cola,Beverages,High,28.9,81,0.0,17,4,6,6,12.0,14.142857142857142
2025-06-07,S001,P001,Coca Cola,Beverages,High,28.9,81,0.2,25,5,6,7,17.0,14.428571428571429
