product_id,product_name,category,weather_dependency,shop_id,city
P001,Coca Cola,Beverages,High,S001,Thiruvananthapuram
P002,Pepsi,Beverages,High,S001,Thiruvananthapuram
P003,Sprite,Beverages,High,S001,Thiruvananthapuram
P004,Fruit Juice,Beverages,High,S001,Thiruvananthapuram
P005,Packaged Drinking Water,Beverages,High,S001,Thiruvananthapuram
P006,Energy Drink,Beverages,High,S001,Thiruvananthapuram
P007,Lemon Juice,Beverages,High,S001,Thiruvananthapuram
P008,Flavoured Milk,Beverages,Medium,S001,Thiruvananthapuram
P009,Vanilla Ice Cream,Ice Cream & Frozen,Very High,S001,Thiruvananthapuram
P010,Chocolate Ice Cream,Ice Cream & Frozen,Very High,S001,Thiruvananthapuram
P011,Strawberry Ice Cream,Ice Cream & Frozen,Very High,S001,Thiruvananthapuram
P012,Kulfi,Ice Cream & Frozen,Very High,S001,Thiruvananthapuram
P013,Ice Cream Cone,Ice Cream & Frozen,Very High,S001,Thiruvananthapuram
P014,Frozen Dessert,Ice Cream & Frozen,High,S001,Thiruvananthapuram
P015,Watermelon,Fruits,Very High,S001,Thiruvananthapuram
P016,Mango,Fruits,High,S001,Thiruvananthapuram
P017,Orange,Fruits,Medium,S001,Thiruvananthapuram
P018,Grapes,Fruits,Medium,S001,Thiruvananthapuram
P019,Pineapple,Fruits,Medium,S001,Thiruvananthapuram
P020,Banana,Fruits,Low,S001,Thiruvananthapuram
P021,Papaya,Fruits,Low,S001,Thiruvananthapuram
P022,Apple,Fruits,Low,S001,Thiruvananthapuram
P023,Tomato,Vegetables,Medium,S001,Thiruvananthapuram
P024,Cucumber,Vegetables,High,S001,Thiruvananthapuram
P025,Carrot,Vegetables,Low,S001,Thiruvananthapuram
P026,Potato,Vegetables,Very Low,S001,Thiruvananthapuram
P027,Onion,Vegetables,Very Low,S001,Thiruvananthapuram
P028,Green Chilli,Vegetables,Low,S001,Thiruvananthapuram
P029,Spinach,Vegetables,Medium,S001,Thiruvananthapuram
P030,Capsicum,Vegetables,Low,S001,Thiruvananthapuram
P031,Milk,Dairy,Low,S001,Thiruvananthapuram
P032,Curd,Dairy,Medium,S001,Thiruvananthapuram
P033,Butter,Dairy,Low,S001,Thiruvananthapuram
P034,Cheese,Dairy,Low,S001,Thiruvananthapuram
P035,Paneer,Dairy,Low,S001,Thiruvananthapuram
P036,Buttermilk,Dairy,High,S001,Thiruvananthapuram
