date,shop_id,product_id,product_name,category,weather_dependency,temperature,humidity,rainfall,demand
2025-01-01,S001,P001,Coca Cola,Beverages,High,28.9,62,0.0,14
2025-01-02,S001,P001,Coca Cola,Beverages,High,28.0,70,0.0,29
2025-01-03,S001,P001,Coca Cola,Beverages,High,27.8,70,0.0,16
2025-01-04,S001,P001,Coca Cola,Beverages,High,27.8,70,0.0,20
2025-01-05,S001,P001,Coca Cola,Beverages,High,27.3,76,7.1,29
2025-01-06,S001,P001,Coca Cola,Beverages,High,27.4,76,0.0,25
2025-01-07,S001,P001,Coca Cola,Beverages,High,27.3,74,0.0,28
2025-01-08,S001,P001,Coca Cola,Beverages,High,27.5,75,0.1,19
2025-01-09,S001,P001,Coca Cola,Beverages,High,27.5,73,0.0,12
2025-01-10,S001,P001,Coca Cola,Beverages,High,28.1,74,0.0,26
2025-01-11,S001,P001,Coca Cola,Beverages,High,27.9,79,4.1,21
2025-01-12,S001,P001,Coca Cola,Beverages,High,27.1,84,1.4,10
2025-01-13,S001,P001,Coca Cola,Beverages,High,27.9,80,4.9,14
2025-01-14,S001,P001,Coca Cola,Beverages,High,27.5,79,6.8,24
2025-01-15,S001,P001,Coca Cola,Beverages,High,28.2,71,2.4,31
2025-01-16,S001,P001,Coca Cola,Beverages,High,28.8,68,0.0,16
2025-01-17,S001,P001,Coca Cola,Beverages,High,28.6,64,0.0,22
2025-01-18,S001,P001,Coca Cola,Beverages,High,27.4,68,2.1,32
2025-01-19,S001,P001,Coca Cola,Beverages,High,26.7,80,19.1,16
2025-01-20,S001,P001,Coca Cola,Beverages,High,27.8,78,0.0,29
2025-01-21,S001,P001,Coca Cola,Beverages,High,28.3,73,0.0,33
2025-01-22,S001,P001,Coca Cola,Beverages,High,27.9,76,0.3,12
2025-01-23,S001,P001,Coca Cola,Beverages,High,28.1,79,1.2,16
2025-01-24,S001,P001,Coca Cola,Beverages,High,28.3,75,0.0,19
2025-01-25,S001,P001,Coca Cola,Beverages,High,28.1,72,0.1,22
2025-01-26,S001,P001,Coca Cola,Beverages,High,28.3,71,0.0,26
2025-01-27,S001,P001,Coca Cola,Beverages,High,27.5,65,0.0,30
2025-01-28,S001,P001,Coca Cola,Beverages,High,27.0,74,0.0,23
2025-01-29,S001,P001,Coca Cola,Beverages,High,27.3,79,0.0,21
2025-01-30,S001,P001,Coca Cola,Beverages,High,28.2,75,0.0,18
2025-01-31,S001,P001,Coca Cola,Beverages,High,28.4,82,0.0,9
2025-02-01,S001,P001,Coca Cola,Beverages,High,28.3,83,1.0,15
2025-02-02,S001,P001,Coca Cola,Beverages,High,28.4,80,0.0,11
2025-02-03,S001,P001,Coca Cola,Beverages,High,28.1,80,0.9,17
2025-02-04,S001,P001,Coca Cola,Beverages,High,27.8,78,0.0,31
2025-02-05,S001,P001,Coca Cola,Beverages,High,27.5,75,0.0,17
2025-02-06,S001,P001,Coca Cola,Beverages,High,27.7,75,0.0,17
2025-02-07,S001,P001,Coca Cola,Beverages,High,28.0,71,0.0,25
2025-02-08,S001,P001,Coca Cola,Beverages,High,27.6,66,0.0,24
2025-02-09,S001,P001,Coca Cola,Beverages,High,27.5,66,0.0,16
2025-02-10,S001,P001,Coca Cola,Beverages,High,27.6,69,0.0,21
2025-02-11,S001,P001,Coca Cola,Beverages,High,28.3,76,0.0,23
2025-02-12,S001,P001,Coca Cola,Beverages,High,28.1,72,0.0,25
2025-02-13,S001,P001,Coca Cola,Beverages,High,28.0,74,0.0,19
2025-02-14,S001,P001,Coca Cola,Beverages,High,27.5,74,0.0,19
2025-02-15,S001,P001,Coca Cola,Beverages,High,27.6,74,0.0,12
2025-02-16,S001,P001,Coca Cola,Beverages,High,27.6,72,0.0,17
2025-02-17,S001,P001,Coca Cola,Beverages,High,27.7,74,0.0,28
2025-02-18,S001,P001,Coca Cola,Beverages,High,27.8,73,0.0,9
2025-02-19,S001,P001,Coca Cola,Beverages,High,27.8,74,0.0,15
2025-02-20,S001,P001,Coca Cola,Beverages,High,28.0,73,0.0,18
2025-02-21,S001,P001,Coca Cola,Beverages,High,28.1,74,0.0,20
2025-02-22,S001,P001,Coca Cola,Beverages,High,28.0,74,0.0,19
2025-02-23,S001,P001,Coca Cola,Beverages,High,28.3,74,0.0,20
2025-02-24,S001,P001,Coca Cola,Beverages,High,28.5,73,0.0,17
2025-02-25,S001,P001,Coca Cola,Beverages,High,28.8,67,0.0,11
2025-02-26,S001,P001,Coca Cola,Beverages,High,29.2,70,3.2,11
2025-02-27,S001,P001,Coca Cola,Beverages,High,29.5,70,0.0,23
2025-02-28,S001,P001,Coca Cola,Beverages,High,28.8,74,1.1,7
2025-03-01,S001,P001,Coca Cola,Beverages,High,28.3,81,5.1,11
2025-03-02,S001,P001,Coca Cola,Beverages,High,25.7,87,2.0,21
2025-03-03,S001,P001,Coca Cola,Beverages,High,28.1,84,72.9,14
2025-03-04,S001,P001,Coca Cola,Beverages,High,28.5,79,0.0,24
2025-03-05,S001,P001,Coca Cola,Beverages,High,28.8,78,0.0,22
2025-03-06,S001,P001,Coca Cola,Beverages,High,29.0,81,2.3,16
2025-03-07,S001,P001,Coca Cola,Beverages,High,28.6,80,2.6,11
2025-03-08,S001,P001,Coca Cola,Beverages,High,28.7,81,1.6,27
2025-03-09,S001,P001,Coca Cola,Beverages,High,28.9,79,0.5,15
2025-03-10,S001,P001,Coca Cola,Beverages,High,28.8,66,0.0,21
