date,temperature,min_temperature,max_temperature,humidity,rainfall,wind_speed,pressure,shop_id,city
2025-01-01,28.9,24.8,33.0,62,0.0,2.1,1009.9,S001,Thiruvananthapuram
2025-01-02,28.0,23.8,32.8,70,0.0,1.4,1010.4,S001,Thiruvananthapuram
2025-01-03,27.8,24.0,32.8,70,0.0,1.4,1010.4,S001,Thiruvananthapuram
2025-01-04,27.8,23.8,32.4,70,0.0,1.4,1010.2,S001,Thiruvananthapuram
2025-01-05,27.3,22.6,34.6,76,7.1,1.7,1010.8,S001,Thiruvananthapuram
2025-01-06,27.4,22.4,32.6,76,0.0,1.4,1010.9,S001,Thiruvananthapuram
2025-01-07,27.3,23.2,31.8,74,0.0,1.2,1010.7,S001,Thiruvananthapuram
2025-01-08,27.5,23.4,32.0,75,0.1,1.6,1010.2,S001,Thiruvananthapuram
2025-01-09,27.5,23.4,32.8,73,0.0,1.5,1010.5,S001,Thiruvananthapuram
2025-01-10,28.1,23.8,32.8,74,0.0,1.4,1011.5,S001,Thiruvananthapuram
2025-01-11,27.9,24.4,34.6,79,4.1,0.9,1012.0,S001,Thiruvananthapuram
2025-01-12,27.1,23.8,31.6,84,1.4,1.1,1011.5,S001,Thiruvananthapuram
2025-01-13,27.9,24.6,32.4,80,4.9,0.9,1010.0,S001,Thiruvananthapuram
2025-01-14,27.5,24.8,30.8,79,6.8,0.6,1010.6,S001,Thiruvananthapuram
2025-01-15,28.2,25.3,32.8,71,2.4,2.0,1010.9,S001,Thiruvananthapuram
2025-01-16,28.8,25.2,34.8,68,0.0,1.4,1010.7,S001,Thiruvananthapuram
2025-01-17,28.6,25.0,34.6,64,0.0,1.0,1009.7,S001,Thiruvananthapuram
2025-01-18,27.4,23.6,32.2,68,2.1,1.7,1009.3,S001,Thiruvananthapuram
2025-01-19,26.7,24.8,29.2,80,19.1,1.0,1010.0,S001,Thiruvananthapuram
2025-01-20,27.8,25.0,32.8,78,0.0,0.8,1009.5,S001,Thiruvananthapuram
2025-01-21,28.3,25.4,32.8,73,0.0,1.4,1009.1,S001,Thiruvananthapuram
2025-01-22,27.9,25.2,31.3,76,0.3,1.6,1009.3,S001,Thiruvananthapuram
2025-01-23,28.1,25.2,31.8,79,1.2,1.8,1009.1,S001,Thiruvananthapuram
2025-01-24,28.3,25.6,32.8,75,0.0,1.1,1008.4,S001,Thiruvananthapuram
2025-01-25,28.1,24.8,32.2,72,0.1,1.9,1009.1,S001,Thiruvananthapuram
2025-01-26,28.3,25.0,32.8,71,0.0,1.6,1008.9,S001,Thiruvananthapuram
2025-01-27,27.5,23.7,32.8,65,0.0,2.1,1009.0,S001,Thiruvananthapuram
2025-01-28,27.0,22.8,31.4,74,0.0,1.5,1009.8,S001,Thiruvananthapuram
2025-01-29,27.3,25.0,30.9,79,0.0,1.6,1010.2,S001,Thiruvananthapuram
2025-01-30,28.2,24.1,31.9,75,0.0,1.4,1009.9,S001,Thiruvananthapuram
2025-01-31,28.4,25.6,32.7,82,0.0,1.5,1009.4,S001,Thiruvananthapuram
2025-02-01,28.3,24.8,33.6,83,1.0,2.2,1010.1,S001,Thiruvananthapuram
2025-02-02,28.4,24.4,33.6,80,0.0,2.5,1010.2,S001,Thiruvananthapuram
2025-02-03,28.1,24.8,32.4,80,0.9,1.4,1011.1,S001,Thiruvananthapuram
2025-02-04,27.8,24.3,32.6,78,0.0,1.4,1011.0,S001,Thiruvananthapuram
2025-02-05,27.5,23.0,32.2,75,0.0,1.9,1010.2,S001,Thiruvananthapuram
2025-02-06,27.7,23.4,33.2,75,0.0,1.8,1009.6,S001,Thiruvananthapuram
2025-02-07,28.0,22.6,33.0,71,0.0,1.9,1010.8,S001,Thiruvananthapuram
2025-02-08,27.6,22.8,33.2,66,0.0,1.9,1010.7,S001,Thiruvananthapuram
2025-02-09,27.5,22.6,32.6,66,0.0,2.0,1010.2,S001,Thiruvananthapuram
2025-02-10,27.6,23.0,32.4,69,0.0,2.1,1011.4,S001,Thiruvananthapuram
2025-02-11,28.3,23.8,33.6,76,0.0,1.4,1012.0,S001,Thiruvananthapuram
2025-02-12,28.1,23.6,32.6,72,0.0,1.7,1011.6,S001,Thiruvananthapuram
2025-02-13,28.0,23.6,32.6,74,0.0,2.0,1011.7,S001,Thiruvananthapuram
2025-02-14,27.5,23.4,32.4,74,0.0,3.0,1011.9,S001,Thiruvananthapuram
2025-02-15,27.6,23.8,33.2,74,0.0,1.9,1010.9,S001,Thiruvananthapuram
2025-02-16,27.6,23.2,33.2,72,0.0,2.1,1010.8,S001,Thiruvananthapuram
2025-02-17,27.7,23.6,32.4,74,0.0,1.8,1011.9,S001,Thiruvananthapuram
2025-02-18,27.8,23.2,33.0,73,0.0,1.8,1012.3,S001,Thiruvananthapuram
2025-02-19,27.8,23.2,32.2,74,0.0,2.4,1011.1,S001,Thiruvananthapuram
2025-02-20,28.0,24.2,32.6,73,0.0,2.1,1011.5,S001,Thiruvananthapuram
2025-02-21,28.1,23.8,33.0,74,0.0,1.4,1012.2,S001,Thiruvananthapuram
2025-02-22,28.0,24.0,33.0,74,0.0,2.0,1012.9,S001,Thiruvananthapuram
2025-02-23,28.3,24.4,32.4,74,0.0,1.8,1012.8,S001,Thiruvananthapuram
2025-02-24,28.5,25.0,32.8,73,0.0,1.5,1012.1,S001,Thiruvananthapuram
2025-02-25,28.8,23.6,34.4,67,0.0,1.5,1012.5,S001,Thiruvananthapuram
2025-02-26,29.2,26.0,34.0,70,3.2,0.6,1012.2,S001,Thiruvananthapuram
2025-02-27,29.5,25.0,34.8,70,0.0,1.6,1010.8,S001,Thiruvananthapuram
2025-02-28,28.8,26.0,33.6,74,1.1,1.3,1010.1,S001,Thiruvananthapuram
2025-03-01,28.3,25.6,36.0,81,5.1,1.3,1009.3,S001,Thiruvananthapuram
